"dept_id","parent_id","ancestors","dept_name","order_num","leader","phone","email","status","del_flag","create_by","create_time","update_by","update_time"
100,0,"0",立昇汽车科技（广州）有限公司,0,"","","","0","0",admin,"2022-10-06 14:18:54",admin,"2025-03-25 17:38:39"
212,100,"0,100",立昇汽车科技（广州）有限公司,1,,,,"0","0",admin,"2024-01-08 16:26:28",admin,"2025-03-25 17:38:55"
